paso,loss_antes,grad_norm,change_norm,train_accuracy
28,0.06945306118577718,0.15307228676974774,0.22150474786758423,0.9785398840904236
29,0.06903935708105564,0.15070837773382664,0.2070118635892868,0.9795426726341248
30,0.06530351638793945,0.15326707549393176,0.19895797967910767,0.979743242263794
31,0.06136679113842547,0.15297607723623513,0.20039750635623932,0.9775370955467224
32,0.060868463665246966,0.16563936285674571,0.20331698656082153,0.9827516674995422
33,0.059629484731704,0.1626503050327301,0.16333481669425964,0.9803449511528015
34,0.057995264604687694,0.14113086946308612,0.1528601348400116,0.9811471700668335
35,0.056776438187807796,0.16091281212866307,0.15647174417972565,0.9823505878448486
36,0.05643330477178097,0.16298327036201954,0.15262772142887115,0.9815483093261719
37,0.053691545594483615,0.16469664610922335,0.15122906863689423,0.9819494485855103
38,0.05341004580259323,0.15905774235725403,0.13498680293560028,0.982551097869873
39,0.051876946911215784,0.16060166619718075,0.13388408720493317,0.9827516674995422
40,0.05201269593089819,0.16374888457357883,0.1307968646287918,0.982551097869873
41,0.05076769655570388,0.16339199244976044,0.13949380815029144,0.9839550256729126
42,0.05014298241585493,0.1634757701307535,0.1158609464764595,0.9867629408836365
43,0.049084984231740236,0.17492945715785027,0.12161069363355637,0.9841555953025818
44,0.0486667362973094,0.14843815043568612,0.12439001351594925,0.9855595231056213
45,0.047361918911337855,0.14857170209288598,0.13332132995128632,0.9809466004371643
46,0.047547221556305884,0.17911356538534165,0.12766499817371368,0.9851584434509277
47,0.04577637007459998,0.16156463660299777,0.11516959220170975,0.9847573041915894
48,0.04613581718876958,0.20422245040535927,0.10418596863746643,0.9849578738212585
49,0.04732149988412857,0.19279118962585926,0.11251989006996155,0.9867629408836365
50,0.045461042877286674,0.15634958539158106,0.11933882534503937,0.9861612319946289
51,0.04664465142413974,0.19297164715826512,0.11230778694152832,0.988166868686676
52,0.0436687633395195,0.17673026733100414,0.12024030089378357,0.9857600927352905
53,0.04348659459501505,0.16248408518731594,0.11622418463230133,0.9857600927352905
54,0.04324233653023839,0.17006639167666435,0.1116800531744957,0.9861612319946289
55,0.04327537901699543,0.1922837533056736,0.09771226346492767,0.9875651597976685
56,0.041677295602858065,0.1711416717618704,0.11254822462797165,0.9865623712539673
57,0.04279882060363889,0.18980047553777696,0.09289447963237762,0.9869634509086609
58,0.04193323133513331,0.18919752575457097,0.09973269701004028,0.988166868686676
59,0.040965776238590476,0.1463455431163311,0.08992239087820053,0.9879662990570068
60,0.040201108809560536,0.1792000737041235,0.09519775211811066,0.9879662990570068
61,0.04131693656090647,0.18281060121953488,0.09177901595830917,0.9895707964897156
62,0.04024929665029049,0.1886671047657728,0.1079673320055008,0.9863618016242981
63,0.040330233378335835,0.18412115871906282,0.10243424773216248,0.988969087600708
64,0.04152556611225009,0.20015976652503015,0.10397623479366302,0.9875651597976685
65,0.04002288319170475,0.18207922540605068,0.10095828026533127,0.9887685179710388
66,0.039638907089829443,0.17993368282914163,0.09918630123138428,0.9871640205383301
67,0.03963634073734283,0.20010310187935829,0.09808957576751709,0.988166868686676
68,0.0377469499129802,0.17548094056546687,0.09433770924806595,0.9861612319946289
69,0.03891924973577261,0.18183576613664626,0.1018160730600357,0.9891696572303772
70,0.038235549721866845,0.20900514870882034,0.0936046913266182,0.9897713661193848
71,0.03764537638053298,0.17647874541580677,0.09320837259292603,0.9895707964897156
72,0.04014731445349753,0.1913641894236207,0.0971032977104187,0.9895707964897156
73,0.03825870519503951,0.19989628605544568,0.1063125804066658,0.9899718761444092
74,0.036826688423752786,0.18513961955904962,0.10150579363107681,0.9897713661193848
75,0.037852677935734394,0.18123582638800145,0.0967985987663269,0.9897713661193848
76,0.037383258994668725,0.19515535272657872,0.09718868136405945,0.9891696572303772
77,0.037692167051136496,0.19761084504425525,0.112246073782444,0.9887685179710388
78,0.037647879030555484,0.19075816348195077,0.12955880165100098,0.9879662990570068
79,0.03826815327629447,0.20628202967345716,0.12279859185218811,0.988969087600708
80,0.03725774371996522,0.19759574569761754,0.09135130792856216,0.9887685179710388
81,0.036565903853625056,0.1879866074770689,0.10323172807693481,0.9891696572303772
82,0.03651135535910725,0.2236980764195323,0.11449500173330307,0.9897713661193848
83,0.03593262182548642,0.19121158942580224,0.11261450499296188,0.9903730154037476
84,0.03527441322803497,0.21938684210181236,0.09148292243480682,0.9895707964897156
85,0.03469483396038413,0.19467793628573418,0.0922582596540451,0.9903730154037476
86,0.035309841437265274,0.19471635669469833,0.0805710032582283,0.9903730154037476
87,0.034119090717285874,0.19480914771556854,0.08906184136867523,0.9893702268600464
88,0.033323719585314396,0.18042512834072114,0.08741562813520432,0.9893702268600464
89,0.033521468145772816,0.18035591766238213,0.08566560596227646,0.9905735850334167
90,0.03364670635201037,0.20166140273213387,0.09150795638561249,0.9897713661193848
91,0.03619826324284077,0.2474130865186453,0.11150993406772614,0.9893702268600464
92,0.03539688684977591,0.20515573360025882,0.11606035381555557,0.9901724457740784
93,0.03311254410073161,0.2112363576889038,0.11407539248466492,0.9903730154037476
94,0.03244288777932525,0.1945786364376545,0.08512286096811295,0.9901724457740784
95,0.03310725521296263,0.1949312210083008,0.07511027902364731,0.9907741546630859
96,0.03234088893514127,0.16137524060904979,0.0987846776843071,0.9899718761444092
97,0.03367305202409625,0.1988398961722851,0.0848439633846283,0.9907741546630859
98,0.033325326070189475,0.20173412896692752,0.09685836732387543,0.9907741546630859
99,0.03449970660731196,0.215826216340065,0.11619550734758377,0.9899718761444092
100,0.03225324945524335,0.1783961035311222,0.10632183402776718,0.9901724457740784
101,0.031714310310781,0.20876770913600923,0.09568718075752258,0.9895707964897156
102,0.033018172811716796,0.22182196378707886,0.0972677543759346,0.9905735850334167
103,0.031191925425082444,0.17853643633425237,0.08580179512500763,0.9905735850334167
104,0.030763400485739112,0.1788856703788042,0.10198953747749329,0.9905735850334167
105,0.031525840144604446,0.2234071847051382,0.08541650325059891,0.9911752939224243
106,0.03077115761116147,0.18220982030034066,0.11267399042844772,0.9899718761444092
107,0.03138484298251569,0.17858889028429986,0.09165843576192856,0.9897713661193848
108,0.03145260363817215,0.21577503979206086,0.09959665685892105,0.9907741546630859
109,0.030332393106073142,0.2008410856127739,0.09509069472551346,0.9907741546630859
110,0.03039258662611246,0.17334851287305356,0.087465800344944,0.9905735850334167
111,0.0316477311309427,0.21443814933300018,0.1022053211927414,0.9913758039474487
112,0.032218629214912656,0.19178057350218297,0.11240068078041077,0.9909747242927551
113,0.030875202594324948,0.21204178407788277,0.10658679902553558,0.9911752939224243
114,0.030944178299978375,0.2174644261598587,0.1023058220744133,0.9913758039474487
115,0.029917168617248534,0.18047744445502759,0.09722837060689926,0.9917769432067871
116,0.028898617532104254,0.16854543834924698,0.0818217396736145,0.9909747242927551
117,0.029617734905332326,0.17783176191151143,0.0859403982758522,0.9911752939224243
118,0.0297595186624676,0.19604690186679363,0.11029317229986191,0.9919775128364563
119,0.028317789221182464,0.18404882587492466,0.11007307469844818,0.9899718761444092
120,0.030155738350003958,0.1970313720405102,0.09336811304092407,0.9905735850334167
121,0.029502081498503686,0.2017827145755291,0.09268928319215775,0.9921780824661255
122,0.02883355487138033,0.1879323422908783,0.09492664039134979,0.9909747242927551
123,0.029076165100559593,0.19370208345353604,0.08231854438781738,0.9909747242927551
124,0.028382837446406482,0.18660629726946354,0.10639385133981705,0.9901724457740784
125,0.028794949129223823,0.2049903329461813,0.09923180192708969,0.9911752939224243
126,0.0284748746547848,0.19672646299004554,0.09073828160762787,0.9915763735771179
127,0.028886347427032888,0.1891509683802724,0.0790008008480072,0.9911752939224243
128,0.031282886024564506,0.25532505586743354,0.09411298483610153,0.9895707964897156
129,0.028296489780768753,0.19054026529192924,0.11415700614452362,0.9919775128364563
130,0.02724253572523594,0.1818069826811552,0.08809242397546768,0.9919775128364563
131,0.02757803853601217,0.20213044434785843,0.07478368282318115,0.9917769432067871
132,0.02780655017122626,0.19904274344444275,0.08670678734779358,0.9919775128364563
133,0.02676526235882193,0.1784212041646242,0.08838427066802979,0.9917769432067871
134,0.02762266406789422,0.1917652864009142,0.08143416792154312,0.9917769432067871
135,0.02701354054734111,0.19557584822177887,0.09272968769073486,0.9921780824661255
136,0.026889110868796706,0.19617092311382295,0.08026570081710815,0.9913758039474487
137,0.02705345251597464,0.18389202505350113,0.09131749719381332,0.9921780824661255
138,0.026178621035069228,0.17552132569253445,0.08846550434827805,0.9917769432067871
139,0.027526695537380873,0.1950401984155178,0.09329499304294586,0.9917769432067871
140,0.0272547438275069,0.20323680751025677,0.0999535471200943,0.9921780824661255
141,0.027092915028333664,0.19595135971903802,0.0875638872385025,0.9921780824661255
142,0.026433110260404645,0.18555859588086604,0.09229426831007004,0.9921780824661255
143,0.0270171700976789,0.18141527771949767,0.1051294207572937,0.9917769432067871
144,0.026173147093504667,0.19459343440830706,0.1155814379453659,0.9911752939224243
145,0.026264682365581393,0.21638370156288148,0.08653026074171066,0.9919775128364563
146,0.026726766442880034,0.2239925403147936,0.0987875908613205,0.9923786520957947
147,0.02698019496165216,0.22611442022025585,0.09957223385572433,0.9923786520957947
148,0.027240364253520964,0.21640893965959548,0.09408583492040634,0.9927797317504883
149,0.026426684856414796,0.20459742210805415,0.1006435975432396,0.9927797317504883
150,0.0263696295209229,0.20846717059612274,0.08837496489286423,0.9925792217254639
151,0.024962101480923593,0.18925237730145456,0.11796153336763382,0.9925792217254639
152,0.025729954289272428,0.2037081316113472,0.10662246495485306,0.9929803013801575
153,0.025774946343153714,0.20091172382235528,0.0821029543876648,0.9927797317504883
154,0.027128664962947368,0.24157471247017384,0.11138056963682175,0.9921780824661255
155,0.02551037836819887,0.19144668132066728,0.09925457835197449,0.9923786520957947
156,0.025547970645129682,0.20519161820411683,0.10069381445646286,0.9925792217254639
157,0.024532469315454365,0.19593238718807698,0.0918891504406929,0.9931808710098267
158,0.02672984334640205,0.20756686590611934,0.10038015991449356,0.9925792217254639
159,0.024050730187445878,0.1825832225382328,0.0746837854385376,0.9925792217254639
160,0.0247789422981441,0.20769033916294574,0.08566130697727203,0.9925792217254639
161,0.024883722560480236,0.18049149811267853,0.08101368695497513,0.9931808710098267
162,0.02502653831616044,0.21178296133875846,0.11987639218568802,0.9929803013801575
163,0.02428091811016202,0.1971723861992359,0.09975802153348923,0.9927797317504883
164,0.024389159120619296,0.19670207612216473,0.07911763340234756,0.9931808710098267
165,0.02397425314411521,0.19275718443095685,0.09742199629545212,0.9927797317504883
166,0.02383351300377399,0.20101059824228287,0.08103947341442108,0.9931808710098267
167,0.02457439308054745,0.21728072613477706,0.08806373178958893,0.9927797317504883
168,0.02398927023168653,0.19992342963814735,0.09220428764820099,0.9927797317504883
169,0.024972621258348225,0.2139328397810459,0.08839995414018631,0.9929803013801575
170,0.024400723772123455,0.20080892704427242,0.08597584813833237,0.9933814406394958
171,0.023578372225165366,0.21769544556736947,0.10059075802564621,0.9929803013801575
172,0.023676356626674534,0.20282823853194715,0.09224270284175873,0.993582010269165
173,0.02301129759289324,0.2012839365750551,0.08479951322078705,0.9933814406394958
174,0.022599179577082396,0.2030364688485861,0.08789097517728806,0.993582010269165
175,0.02398923928849399,0.21701130606234073,0.08482396602630615,0.9927797317504883
176,0.023249482177197932,0.20271991863846778,0.11934787034988403,0.9933814406394958
177,0.023234245250932872,0.1937481567263603,0.09349226951599121,0.993582010269165
178,0.022408604016527535,0.1774884071201086,0.07738705724477768,0.9933814406394958
179,0.02245496492832899,0.18957555890083314,0.08250567317008972,0.9937825798988342
180,0.0224553179461509,0.18703348860144614,0.08649515360593796,0.993582010269165
181,0.02338279071263969,0.23702106960117816,0.09241609275341034,0.9941837191581726
182,0.0236587799154222,0.20659754425287247,0.10876182466745377,0.9933814406394958
183,0.022486478672362864,0.21036276705563067,0.10116183012723923,0.9931808710098267
184,0.021752056921832262,0.18767552077770233,0.10109085589647293,0.9927797317504883
185,0.022974064759910106,0.20162032432854177,0.09017946571111679,0.9931808710098267
186,0.02245918745175004,0.22755647748708724,0.09642098098993301,0.993582010269165
187,0.02261707605794072,0.19484320394694804,0.09124559909105301,0.993582010269165
188,0.023661511857062577,0.24956011772155762,0.12166628241539001,0.9931808710098267
189,0.02192567486781627,0.21176200360059738,0.1116606816649437,0.993582010269165
190,0.02147058807313442,0.19674965776503087,0.10058174282312393,0.9937825798988342
191,0.02189983520656824,0.21802737340331077,0.09041880816221237,0.9933814406394958
192,0.021873042825609444,0.18968025743961334,0.0939049944281578,0.994384229183197
193,0.0218981659039855,0.20418160781264305,0.08264046162366867,0.9941837191581726
194,0.0210991557338275,0.17446291036903858,0.08321655541658401,0.9939831495285034
195,0.020579431625083088,0.18599474541842936,0.08540866523981094,0.9945847988128662
196,0.021454552630893887,0.1932426430284977,0.09068620949983597,0.9931808710098267
197,0.021950172912329435,0.19804476834833623,0.10802807658910751,0.993582010269165
198,0.021308574033901094,0.20674432255327702,0.13959723711013794,0.9939831495285034
199,0.021893573645502328,0.22199000231921673,0.1290978193283081,0.994384229183197
200,0.020880093239247798,0.1821873787790537,0.10249989479780197,0.9945847988128662
